LA.Code,LA.Name,Patient.Count,Patient.Count.QCOVID,Shielders_pct,Shielders_from_QCOVID_pct,decile_imd,quintile_imd,decile_income,quintile_income,RGN19NM,pop19,before_after
E06000026,Plymouth,10135,,3.86684471575734,,2,1,3,2,South West,262100,before
E07000111,Sevenoaks,4660,,3.8592132505176,,8,4,8,4,South East,120750,before
E07000242,East Hertfordshire,5760,,3.84646205625451,,10,5,10,5,East of England,149748,before
E07000042,Mid Devon,3165,,3.84517257717681,,6,3,7,4,South West,82311,before
E07000122,Pendle,3535,,3.83771929824561,,2,1,2,1,North West,92112,before
E07000044,South Hams,3335,,3.83315709622546,,8,4,7,4,South West,87004,before
E07000165,Harrogate,6160,,3.83010737979618,,9,5,10,5,Yorkshire and The Humber,160831,before
E06000008,Blackburn with Darwen,5730,,3.82775758871313,,1,1,1,1,North West,149696,before
E07000238,Wychavon,4950,,3.82437245524712,,7,4,7,4,West Midlands,129433,before
E07000135,Oadby and Wigston,2180,,3.82355520477067,,8,4,7,4,East Midlands,57015,before
E07000153,Kettering,3890,,3.82211916365351,,5,3,5,3,East Midlands,101776,before
E06000019,"Herefordshire, County of",7340,,3.80703419588073,,5,3,6,3,West Midlands,192801,before
E07000132,Hinckley and Bosworth,4300,,3.80073539810494,,8,4,8,4,East Midlands,113136,before
E09000002,Barking and Dagenham,8090,,3.79979897231642,,1,1,1,1,London,212906,before
E08000019,Sheffield,22220,,3.79924528043799,,2,1,2,1,Yorkshire and The Humber,584853,before
E07000154,Northampton,8525,,3.79546769956814,,4,2,4,2,East Midlands,224610,before
E06000054,Wiltshire,18970,,3.79381789674096,,8,4,8,4,South West,500024,before
E06000049,Cheshire East,14565,,3.79146796059893,,7,4,8,4,North West,384152,before
E07000087,Fareham,4405,,3.78980151936197,,10,5,10,5,South East,116233,before
E07000061,Eastbourne,3930,,3.78813436792135,,4,2,3,2,South East,103745,before
E07000065,Wealden,6090,,3.77148165350674,,8,4,9,5,South East,161475,before
E07000142,West Lindsey,3605,,3.76827955303292,,5,3,4,2,East Midlands,95667,before
E07000140,South Holland,3580,,3.76766751912775,,6,3,6,3,East Midlands,95019,before
E08000005,Rochdale,8350,,3.75429383306656,,1,1,1,1,North West,222412,before
E08000030,Walsall,10680,,3.7410938846426,,1,1,1,1,West Midlands,285478,before
E06000024,North Somerset,8045,,3.74095567583654,,7,4,6,3,South West,215052,before
E08000026,Coventry,13870,,3.73330175144877,,3,2,3,2,West Midlands,371521,before
E09000006,Bromley,12345,,3.71461412546339,,8,4,7,4,London,332336,before
E07000028,Carlisle,4035,,3.71280295920057,,4,2,5,3,North West,108678,before
E09000020,Kensington and Chelsea,5795,,3.71167432059387,,4,2,5,3,London,156129,before
E07000036,Erewash,4270,,3.7011033968675,,5,3,5,3,East Midlands,115371,before
E07000125,Rossendale,2645,,3.70023222629473,,3,2,3,2,North West,71482,before
E07000188,Sedgemoor,4550,,3.69384143272338,,4,2,5,3,South West,123178,before
E07000215,Tandridge,3255,,3.6934493753475,,9,5,9,5,South East,88129,before
E07000129,Blaby,3740,,3.68378543427299,,9,5,9,5,East Midlands,101526,before
E07000098,Hertsmere,3860,,3.67902858395524,,8,4,7,4,East of England,104919,before
E07000071,Colchester,7155,,3.67477119349173,,6,3,6,3,East of England,194706,before
E07000164,Hambleton,3365,,3.67382142935127,,9,5,9,5,Yorkshire and The Humber,91594,before
E06000035,Medway,10230,,3.67251109292207,,3,2,4,2,South East,278556,before
E07000032,Amber Valley,4700,,3.66766291836719,,6,3,5,3,East Midlands,128147,before
E07000229,Worthing,4055,,3.66736004341141,,6,3,6,3,South East,110570,before
E06000014,York,7715,,3.66302975054364,,9,5,9,5,Yorkshire and The Humber,210618,before
E07000083,Tewkesbury,3480,,3.66242540965491,,9,5,8,4,South West,95019,before
E09000016,Havering,9485,,3.65437369005055,,6,3,6,3,London,259552,before
E07000199,Tamworth,2800,,3.65077709398143,,4,2,4,2,West Midlands,76696,before
E07000169,Selby,3305,,3.6470977709115,,8,4,8,4,Yorkshire and The Humber,90620,before
E07000035,Derbyshire Dales,2635,,3.64327687521604,,9,5,9,5,East Midlands,72325,before
E07000126,South Ribble,4025,,3.63306495288298,,7,4,7,4,North West,110788,before
E07000102,Three Rivers,3385,,3.62718729573631,,10,5,9,5,East of England,93323,before
E06000030,Swindon,8045,,3.6207261254855,,5,3,5,3,South West,222193,before
E07000226,Crawley,4065,,3.61625848464091,,5,3,5,3,South East,112409,before
E07000095,Broxbourne,3515,,3.61331839348678,,6,3,6,3,East of England,97279,before
E07000216,Waverley,4560,,3.60965106706352,,10,5,10,5,South East,126328,before
E07000235,Malvern Hills,2840,,3.60873211517446,,7,4,7,4,West Midlands,78698,before
E07000034,Chesterfield,3785,,3.60819828408008,,3,2,3,2,East Midlands,104900,before
E07000239,Wyre Forest,3645,,3.59854281229329,,4,2,4,2,West Midlands,101291,before
E06000055,Bedford,6235,,3.59797336287884,,5,3,5,3,East of England,173292,before
E07000212,Runnymede,3215,,3.59523170513509,,9,5,9,5,South East,89424,before
E09000027,Richmond upon Thames,7115,,3.59308955201269,,10,5,9,5,London,198019,before
E06000051,Shropshire,11600,,3.58981976629035,,6,3,7,4,West Midlands,323136,before
E08000021,Newcastle upon Tyne,10870,,3.58959117627634,,2,1,2,1,North East,302820,before
E07000228,Mid Sussex,5420,,3.58888109017229,,10,5,10,5,South East,151022,before
E07000155,South Northamptonshire,3385,,3.58238967086464,,10,5,10,5,East Midlands,94490,before
E07000134,North West Leicestershire,3705,,3.57587514839158,,7,4,7,4,East Midlands,103611,before
E07000227,Horsham,5140,,3.57463262652044,,10,5,10,5,South East,143791,before
E07000210,Mole Valley,3085,,3.53601925611783,,10,5,10,5,South East,87245,before
E07000078,Cheltenham,4110,,3.53378157618696,,7,4,7,4,South West,116306,before
E07000196,South Staffordshire,3965,,3.52645060300971,,8,4,7,4,West Midlands,112436,before
E07000038,North East Derbyshire,3560,,3.5087027655674,,6,3,5,3,East Midlands,101462,before
E07000084,Basingstoke and Deane,6190,,3.50545355698769,,8,4,9,5,South East,176582,before
E06000022,Bath and North East Somerset,6775,,3.50524104676069,,9,5,8,4,South West,193282,before
E07000243,Stevenage,3075,,3.50048380670499,,5,3,5,3,East of England,87845,before
E07000068,Brentwood,2695,,3.49904571480505,,10,5,9,5,East of England,77021,before
E07000222,Warwick,5025,,3.49557922269448,,9,5,9,5,West Midlands,143753,before
E09000008,Croydon,13515,,3.49486695456544,,4,2,4,2,London,386710,before
E07000181,West Oxfordshire,3860,,3.48869788418608,,10,5,10,5,South East,110643,before
E09000029,Sutton,7175,,3.47711886173425,,8,4,7,4,London,206349,before
E07000107,Dartford,3910,,3.47228389251017,,5,3,7,4,South East,112606,before
E07000133,Melton,1775,,3.46618758421371,,8,4,9,5,East Midlands,51209,before
E07000118,Chorley,4095,,3.46399810516343,,6,3,6,3,North West,118216,before
E07000217,Woking,3490,,3.46254204161003,,9,5,9,5,South East,100793,before
E09000028,Southwark,11025,,3.45795565034658,,3,2,2,1,London,318830,before
E07000130,Charnwood,6410,,3.44899946731521,,8,4,7,4,East Midlands,185851,before
E07000093,Test Valley,4350,,3.44800253646164,,9,5,9,5,South East,126160,before
E07000131,Harborough,3230,,3.44323984350848,,10,5,10,5,East Midlands,93807,before
E09000025,Newham,12150,,3.44062027445672,,2,1,2,1,London,353134,before
E07000008,Cambridge,4290,,3.43755508902386,,7,4,8,4,East of England,124798,before
E07000110,Maidstone,5895,,3.43079627064589,,6,3,7,4,South East,171826,before
E07000211,Reigate and Banstead,5085,,3.41853335843171,,9,5,9,5,South East,148748,before
E08000031,Wolverhampton,9000,,3.41741438427686,,1,1,1,1,West Midlands,263357,before
E08000003,Manchester,18825,,3.40503348056825,,1,1,1,1,North West,552858,before
E08000029,Solihull,7330,,3.38765286032518,,6,3,5,3,West Midlands,216374,before
E06000044,Portsmouth,7275,,3.3852167236686,,2,1,4,2,South East,214905,before
E07000092,Rushmoor,3200,,3.38269960570408,,7,4,6,3,South East,94599,before
E07000214,Surrey Heath,3020,,3.38166955937518,,10,5,10,5,South East,89305,before
E07000077,Uttlesford,3080,,3.37408527233688,,10,5,10,5,East of England,91284,before
E07000195,Newcastle-under-Lyme,4365,,3.37219273645908,,5,3,6,3,West Midlands,129441,before
E07000236,Redditch,2875,,3.37199892096035,,4,2,4,2,West Midlands,85261,before
E07000094,Winchester,4210,,3.37180339422869,,10,5,10,5,South East,124859,before
E07000039,South Derbyshire,3615,,3.37028370050624,,7,4,8,4,East Midlands,107261,before
E09000014,Haringey,9040,,3.36501059010523,,2,1,2,1,London,268647,before
E06000036,Bracknell Forest,4120,,3.36192053790729,,10,5,9,5,South East,122549,before
E07000234,Bromsgrove,3345,,3.34898529249807,,9,5,9,5,West Midlands,99881,before
E06000015,Derby,8605,,3.34431912694033,,3,2,2,1,East Midlands,257302,before
E06000020,Telford and Wrekin,6005,,3.33881926451455,,3,2,2,1,West Midlands,179854,before
E07000177,Cherwell,5010,,3.32883729892427,,7,4,8,4,South East,150503,before
E07000096,Dacorum,5150,,3.32766875803648,,8,4,7,4,East of England,154763,before
E07000124,Ribble Valley,2020,,3.31756667980554,,9,5,10,5,North West,60888,before
E07000070,Chelmsford,5915,,3.31580599591901,,8,4,8,4,East of England,178388,before
E07000086,Eastleigh,4420,,3.30877949455025,,10,5,9,5,South East,133584,before
E07000172,Broxtowe,3770,,3.30606052633887,,7,4,7,4,East Midlands,114033,before
E07000179,South Oxfordshire,4680,,3.294452226923,,10,5,10,5,South East,142057,before
E06000043,Brighton and Hove,9560,,3.2865221651168,,5,3,4,2,South East,290885,before
E07000115,Tonbridge and Malling,4335,,3.28028875621439,,8,4,8,4,South East,132153,before
E06000018,Nottingham,10905,,3.27575848603184,,1,1,1,1,East Midlands,332900,before
E07000208,Epsom and Ewell,2635,,3.26813598422365,,10,5,10,5,South East,80627,before
E09000023,Lewisham,9995,,3.26802728206067,,2,1,2,1,London,305842,before
E07000152,East Northamptonshire,3085,,3.26361780232103,,8,4,8,4,East Midlands,94527,before
E09000033,Westminster,8520,,3.26040785712372,,5,3,4,2,London,261317,before
E07000187,Mendip,3760,,3.25296097311981,,6,3,6,3,South West,115587,before
E09000003,Barnet,12855,,3.24728634977733,,6,3,5,3,London,395869,before
E08000025,Birmingham,36600,,3.20542013774549,,1,1,1,1,West Midlands,1141816,before
E07000116,Tunbridge Wells,3795,,3.19648933661265,,9,5,9,5,South East,118724,before
E07000220,Rugby,3480,,3.1945655666223,,8,4,7,4,West Midlands,108935,before
E06000023,"Bristol, City of",14800,,3.19394359236648,,3,2,3,2,South West,463377,before
E06000017,Rutland,1270,,3.18080496906855,,10,5,10,5,East Midlands,39927,before
E09000021,Kingston upon Thames,5640,,3.1773394852034,,9,5,8,4,London,177507,before
E09000024,Merton,6530,,3.16149272808258,,7,4,6,3,London,206548,before
E07000209,Guildford,4690,,3.14769325762762,,10,5,10,5,South East,148998,before
E07000207,Elmbridge,4305,,3.14704484813041,,10,5,10,5,South East,136795,before
E07000241,Welwyn Hatfield,3840,,3.12086018708907,,7,4,7,4,East of England,123043,before
E07000123,Preston,4395,,3.07052782338352,,2,1,2,1,North West,143135,before
E09000026,Redbridge,9320,,3.05351514635249,,6,3,5,3,London,305222,before
E07000180,Vale of White Horse,4120,,3.02925584712552,,10,5,10,5,South East,136007,before
E07000176,Rushcliffe,3600,,3.02053966975433,,10,5,10,5,East Midlands,119184,before
E09000011,Greenwich,8690,,3.01796889651388,,3,2,2,1,London,287942,before
E06000038,Reading,4880,,3.01644208183954,,5,3,5,3,South East,161780,before
E06000031,Peterborough,6090,,3.010990858256,,2,1,2,1,East of England,202259,before
E09000010,Enfield,10025,,3.00334937116904,,3,2,2,1,London,333794,before
E07000237,Worcester,3040,,3.00329967793563,,5,3,5,3,West Midlands,101222,before
E07000166,Richmondshire,1575,,2.93132328308208,,9,5,10,5,Yorkshire and The Humber,53730,before
E09000022,Lambeth,9495,,2.91227295312759,,3,2,3,2,London,326034,before
