LA.Code,LA.Name,decile_imd,quintile_imd,decile_income,quintile_income,RGN19NM,pop19,Patient.Count_before,Patient.Count_after,Patient.Count.QCOVID_before,Patient.Count.QCOVID_after,Shielders_pct_before,Shielders_pct_after,Shielders_from_QCOVID_pct_before,Shielders_from_QCOVID_pct_after,Patient.Count_diff,Shielders_pct_diff
E07000012,South Cambridgeshire,10,5,10,5,East of England,159086,6710,9895,,3015,4.21784443634261,6.2199062142489,,30.4699343102577,3185,2.00206177790629
E08000004,Oldham,1,1,1,1,North West,237110,10000,17570,,7470,4.21745181561301,7.41006284003205,,42.5156516789983,7570,3.19261102441905
E07000081,Gloucester,4,2,4,2,South West,129128,5440,9260,,3730,4.21287404745679,7.17117898519299,,40.280777537797,3820,2.9583049377362
E06000050,Cheshire West and Chester,6,3,5,3,North West,343071,14445,21655,,7090,4.21049870143498,6.3121044914901,,32.7407065342877,7210,2.10160579005512
E07000150,Corby,3,2,4,2,East Midlands,72218,3040,4735,,1615,4.20947686172422,6.5565371514027,,34.1077085533263,1695,2.34706028967847
E09000004,Bexley,6,3,6,3,London,248287,10445,16640,,6140,4.20682516603769,6.70192156657417,,36.8990384615385,6195,2.49509640053648
E07000221,Stratford-on-Avon,9,5,9,5,West Midlands,130098,5460,8165,,2585,4.19683623114883,6.27603806361358,,31.6595223515003,2705,2.07920183246476
E07000089,Hart,10,5,10,5,South East,97073,4070,5580,,1435,4.19272094197151,5.7482513160199,,25.7168458781362,1510,1.5555303740484
E07000031,South Lakeland,8,4,10,5,North West,105088,4395,6530,,1950,4.18220919610231,6.21383982947625,,29.8621745788668,2135,2.03163063337393
E06000059,Dorset,7,4,7,4,South West,378508,15825,25455,,9145,4.18088917539392,6.72508903378528,,35.9261441759969,9630,2.54419985839137
E07000064,Rother,5,3,5,3,South East,96080,4015,7010,,2925,4.17880932556203,7.29600333055787,,41.7261055634808,2995,3.11719400499584
E07000143,Breckland,5,3,6,3,East of England,139968,5835,9580,,3645,4.16881001371742,6.8444215820759,,38.0480167014614,3745,2.67561156835848
E07000067,Braintree,7,4,7,4,East of England,152604,6360,9455,,2975,4.16764960289376,6.19577468480512,,31.4648334214701,3095,2.02812508191135
E07000109,Gravesham,4,2,4,2,South East,106939,4450,7030,,2600,4.16125080653457,6.57384116178382,,36.9843527738265,2580,2.41259035524925
E07000223,Adur,6,3,6,3,South East,64301,2675,4525,,1805,4.16012192656413,7.03721559540287,,39.8895027624309,1850,2.87709366883874
E06000013,North Lincolnshire,4,2,4,2,Yorkshire and The Humber,172292,7165,11450,,4180,4.15863766164419,6.64569451860795,,36.5065502183406,4285,2.48705685696376
E07000099,North Hertfordshire,9,5,8,4,East of England,133570,5550,8425,,2805,4.15512465373961,6.30755409148761,,33.2937685459941,2875,2.152429437748
E08000034,Kirklees,3,2,3,2,Yorkshire and The Humber,439787,18245,28995,,10620,4.14859920825309,6.59296432136466,,36.6270046559752,10750,2.44436511311157
E06000046,Isle of Wight,4,2,4,2,South East,141771,5825,9120,,3725,4.10873874064513,6.4329094102461,,40.844298245614,3295,2.32417066960098
E07000105,Ashford,5,3,5,3,South East,130032,5340,8095,,2695,4.10668143226283,6.22539067306509,,33.2921556516368,2755,2.11870924080226
E07000113,Swale,2,1,3,2,South East,150082,6155,8780,,2590,4.10109140336616,5.85013525939153,,29.498861047836,2625,1.74904385602537
E07000246,Somerset West and Taunton,5,3,6,3,South West,155115,6355,10375,,3955,4.09696031976276,6.68858588788963,,38.1204819277108,4020,2.59162556812687
E07000072,Epping Forest,7,4,7,4,East of England,131689,5395,8405,,2930,4.09677345867916,6.38246170902657,,34.8602022605592,3010,2.28568825034741
E07000175,Newark and Sherwood,5,3,5,3,East Midlands,122421,4985,8095,,3015,4.072013788484,6.61242760637472,,37.2452130945028,3110,2.54041381789072
E07000213,Spelthorne,7,4,8,4,South East,99844,4055,6735,,2480,4.06133568366652,6.74552301590481,,36.822568671121,2680,2.68418733223829
E06000045,Southampton,2,1,4,2,South East,252520,10250,15475,,5225,4.05908442895612,6.12822746713132,,33.7641357027464,5225,2.06914303817519
E07000120,Hyndburn,1,1,2,1,North West,81043,3285,5040,,1735,4.05340374862727,6.21892081981171,,34.4246031746032,1755,2.16551707118443
E07000198,Staffordshire Moorlands,7,4,7,4,West Midlands,98435,3980,5690,,1655,4.04327728958196,5.78046426575913,,29.0861159929701,1710,1.73718697617717
E07000148,Norwich,2,1,2,1,East of England,140573,5680,9280,,3515,4.04060523713658,6.60155221842032,,37.8771551724138,3600,2.56094698128375
E08000033,Calderdale,3,2,3,2,Yorkshire and The Humber,211455,8540,14270,,5670,4.03868435364498,6.7484807642288,,39.7337070777856,5730,2.70979641058381
